(1, 'Prusa 1', 1, '192.168.1.125', '897A6FD8D52F47919B5C2F09BBA6BF3D', 'http://192.168.1.125/webcam/?action=stream', '', '', 1.24, 0)
(2, 'Prusa 2', 1, '192.168.1.115', 'D4A7013EFA104AF994EA33AAF0E19EE4', 'http://192.168.1.115/webcam/?action=stream', '', '', 1.24, 0)
(3, 'Prusa 3', 1, '192.168.1.147', '8CE2ED543A85410D9F27944011AF934D', 'http://192.168.1.147/webcam/?action=stream', '', '', 1.24, 1)
(4, 'Prusa 4', 1, '192.168.1.129', '1E4FDB32924A40DF9148C11FDD0B66C3', 'http://192.168.1.129/webcam/?action=stream', '', '', 1.24, 1)
(5, 'Prusa 5', 1, '192.168.1.122', '2A2CB14A4F084352AA131E96785ABCFB', 'http://192.168.1.122/webcam/?action=stream', '', '', 1.24, 1)
(6, 'Prusa 6', 1, '192.168.1.119', '165A4C83B0D54A9DB79EF1C321E72E01', 'http://192.168.1.119/webcam/?action=stream', '', '', 1.25, 0)
(9, 'Prusa 9', 1, '192.168.1.128', 'F4DF5A70771E4236A9873D089AF3C1F4', 'http://192.168.1.128/webcam/?action=stream', '', '', 1.25, 1)
(10, 'Prusa 10', 1, '192.168.1.148', '33C9A36AFC9A4E43AEB55A231B07B226', 'http://192.168.1.148/webcam/?action=stream', '', '', 1.25, 1)
(11, 'Prusa 11', 1, '192.168.1.116', '59781F1D3354435C8AE9D97DA4D9641E', 'http://192.168.1.116/webcam/?action=stream', '', '', 1.25, 1)
(14, 'Prusa 7', 1, '192.168.1.113', 'FAFD3D2A3A704F34BE8CD624765337E7', 'http://192.168.1.113/webcam/?action=stream', '', '', 1.25, 1)
(15, 'Prusa 8', 1, '192.168.1.138', 'FF34ABDE805D42F2AA1FA1536B055AA3', 'http://192.168.1.138/webcam/?action=stream', '', '', 1.25, 1)
